PUMFID,LM_30,LM_35A,LM35BCDE,LM_35F,LM_35G,LM_40,MH_05,MH_15A,MH_15B,MH_15C,MH_15D,MH_15E,MH_15F,MH_15G,BH_20A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,BH_20N,BH_35A,BH_35B,BH_35C,BH_35D,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,BH_110,BH_115,HHLDSIZC,AGEGRP,IMMIGRNC,SEX,PCHILD,MARSTATC,DWELCODC,PEDUC_LC,PTELEWSC,PEMPSTC,ANXDVGAD,ANXDVSEV,ANXDVGAC,MHDVMHI,PFSCDV,RURURB,PERS_WGT,VERDATE
6032,5,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,3,4,4,2,3,3,3,3,3,1,1,3,1,1,1,3,1,1,0,4,1,5,3,1,0,0,2,4,0,1,731.1888,05/06/2020
6033,6,2,2,2,1,3,3,4,4,3,2,1,4,4,1,2,2,1,1,1,1,1,1,1,1,2,1,2,4,4,4,4,4,3,3,3,1,1,1,3,3,1,1,2,4,1,1,1,1,1,2,9,4,15,4,1,2,0,2,7014.6348,05/06/2020
6034,6,2,2,2,1,4,3,2,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,3,4,3,4,4,3,3,3,3,3,3,3,3,1,2,1,7,1,2,0,3,2,2,9,4,4,1,2,2,0,2,5421.3356,05/06/2020
6035,5,2,2,2,1,4,2,2,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2,1,4,1,1,4,3,3,3,1,3,3,1,3,2,2,1,3,1,1,1,3,1,6,1,1,3,1,2,3,0,2,6097.4668,05/06/2020
6036,4,2,2,2,1,3,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,4,2,2,2,3,3,3,2,1,1,1,3,1,2,1,3,1,1,0,4,1,2,3,1,0,0,2,3,0,1,2236.67,05/06/2020
6037,6,2,2,2,1,3,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,3,1,3,1,1,1,3,3,3,1,2,1,5,1,2,0,3,4,2,9,4,1,1,2,3,1,1,2255.2651,05/06/2020
6038,6,2,2,2,1,3,3,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,4,2,2,4,3,3,3,1,1,1,3,3,1,1,2,6,1,2,0,1,1,4,9,4,3,1,2,2,0,2,5198.4341,05/06/2020
6039,6,2,2,2,1,4,3,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,4,4,4,4,4,2,3,3,3,1,1,3,3,3,3,2,7,2,1,0,1,1,2,9,4,0,0,2,2,0,2,1132.0394,05/06/2020
6040,6,1,2,2,2,3,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,3,3,4,3,3,3,3,1,1,1,3,1,2,1,1,1,2,0,4,2,4,9,4,1,1,2,3,0,1,1546.9849,05/06/2020
6041,4,2,2,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,4,4,2,4,3,3,3,1,3,1,1,3,1,1,2,1,2,1,1,1,1,2,3,1,3,1,2,3,0,2,54269.1743,05/06/2020
6042,6,2,2,2,1,2,3,2,1,1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,4,3,9,4,1,3,3,1,1,3,3,3,1,1,1,4,1,2,0,4,1,4,9,4,2,1,2,2,0,2,909.2836,05/06/2020
6043,5,2,2,2,1,4,3,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,3,4,3,4,4,3,3,3,3,3,3,3,3,4,5,2,4,1,1,0,1,1,6,3,1,2,1,2,2,0,2,801.4047,05/06/2020
6044,4,2,2,1,2,1,2,3,4,3,4,4,4,4,2,2,2,2,1,1,1,1,1,2,1,2,2,2,4,4,4,4,4,1,3,3,1,1,1,1,3,2,9,2,4,1,1,0,1,1,2,4,3,19,4,1,3,0,1,6816.1051,05/06/2020
6045,5,2,2,2,1,3,4,3,2,2,2,2,3,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,3,4,3,4,3,3,2,3,2,3,1,3,3,2,3,2,5,1,1,0,1,1,4,3,1,9,2,2,1,0,2,1756.3721,05/06/2020
6046,5,2,2,2,1,4,2,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,3,4,3,4,3,3,3,3,1,1,1,3,3,3,3,3,5,2,2,0,1,1,6,3,1,5,2,2,3,0,2,1253.359,05/06/2020
6047,6,2,2,2,1,4,5,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,1,4,4,4,1,3,3,9,1,1,1,3,3,1,2,1,4,1,2,1,4,2,2,9,4,7,2,2,0,0,2,2623.0449,05/06/2020
6048,6,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,4,1,1,9,3,3,3,3,1,1,3,3,2,3,2,6,1,2,0,1,1,2,9,4,0,0,2,4,0,1,5605.0768,05/06/2020
6049,6,2,2,2,1,4,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,4,4,4,4,3,9,9,3,1,1,9,9,2,2,1,7,1,2,0,3,4,4,9,4,0,0,2,3,0,2,1155.9174,05/06/2020
6050,4,2,2,2,1,1,3,2,2,2,2,2,3,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,3,4,4,3,4,3,3,3,1,3,3,3,3,2,2,3,4,1,1,0,1,1,1,3,1,7,2,2,2,0,2,87381.2174,05/06/2020
6051,5,2,2,2,1,5,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,3,3,4,4,4,3,3,3,3,3,1,3,3,1,2,2,5,2,2,0,3,1,7,2,1,5,2,2,4,0,2,1419.2669,05/06/2020
6052,6,2,2,2,1,4,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,4,3,3,2,2,3,3,2,3,3,3,3,1,3,5,5,1,1,0,1,1,7,9,4,0,0,2,3,0,2,4668.9373,05/06/2020
6053,5,2,2,2,1,4,3,3,3,3,3,2,3,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,4,3,3,4,3,3,3,1,1,1,3,3,1,1,2,2,1,2,0,1,1,7,2,1,12,3,1,2,0,2,3213.2282,05/06/2020
6054,6,2,2,2,1,2,3,3,3,3,3,3,3,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,4,2,2,4,1,3,3,1,1,1,1,1,3,4,4,4,1,2,0,1,1,6,9,4,12,3,1,2,0,2,17475.8956,05/06/2020
6055,3,2,2,2,1,3,3,3,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,4,3,4,4,3,3,3,3,3,3,3,3,2,3,1,4,2,1,0,3,1,4,3,1,5,2,2,2,1,2,792.6116,05/06/2020
6056,3,2,2,2,1,3,4,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,4,3,2,4,3,3,3,1,3,1,3,3,1,1,2,2,1,2,0,1,4,5,1,1,6,2,2,1,0,2,19572.8786,05/06/2020
6057,3,2,2,2,1,4,4,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,4,4,4,4,4,2,3,3,3,3,3,3,3,4,4,1,2,1,1,0,4,2,6,3,1,0,0,2,1,0,2,509.427,05/06/2020
6058,5,2,2,2,1,4,4,3,3,2,2,2,3,2,1,2,1,1,1,2,1,1,1,1,2,1,2,2,1,4,3,3,2,3,3,3,1,1,1,3,3,2,3,1,2,2,2,0,4,4,4,3,1,10,3,1,1,0,2,5605.9923,05/06/2020
6059,6,2,2,2,1,3,5,4,4,4,4,3,4,4,1,1,2,1,2,1,1,1,1,1,1,2,2,2,4,4,3,4,1,3,3,3,1,3,1,3,3,2,2,1,5,2,1,0,4,2,4,9,4,20,4,1,0,3,2,662.53,05/06/2020
6060,6,2,2,2,1,4,3,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,4,4,3,3,3,3,3,2,2,1,3,3,2,2,1,6,1,2,0,3,4,7,9,4,5,2,2,2,0,2,850.9752,05/06/2020
6061,4,2,2,2,1,4,3,2,3,4,4,2,3,2,1,2,2,1,1,1,1,1,1,2,1,2,2,2,1,4,3,3,4,1,3,3,1,1,1,3,3,4,5,2,2,1,2,0,2,3,7,3,1,13,3,1,2,0,2,3501.6362,05/06/2020
6062,4,2,2,2,1,3,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,4,3,3,4,1,3,3,3,1,1,3,1,1,1,2,4,1,2,0,1,4,7,2,1,5,2,2,3,0,2,7917.0941,05/06/2020
6063,6,2,2,2,1,1,5,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,3,4,2,2,2,3,3,3,2,2,2,3,2,3,2,2,4,1,1,1,2,1,1,9,4,6,2,2,0,3,2,6060.5714,05/06/2020
6064,4,2,2,2,1,4,5,4,4,4,4,4,4,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,4,4,4,4,2,3,3,3,2,1,3,3,3,4,2,3,1,1,1,1,1,7,9,1,19,4,1,0,0,2,1893.8708,05/06/2020
6065,5,2,2,2,1,4,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,1,4,3,3,2,3,3,3,3,3,3,3,1,4,4,2,5,1,2,0,1,1,5,3,1,1,1,2,4,0,2,3908.1311,05/06/2020
6066,6,2,2,2,1,4,3,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,2,3,3,3,3,4,3,3,3,3,1,1,3,3,1,3,1,6,1,2,0,3,1,7,9,4,2,1,2,2,0,2,6984.2836,05/06/2020
6067,6,2,2,2,1,3,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,4,3,3,4,3,3,3,3,3,3,3,3,1,1,2,2,1,2,1,1,4,4,9,4,1,1,2,3,0,1,1475.2368,05/06/2020
6068,4,2,2,2,1,5,2,2,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,4,4,3,2,3,3,3,2,1,1,3,3,1,2,2,4,2,2,0,1,1,6,1,1,4,1,2,3,0,2,16450.9129,05/06/2020
6069,3,2,2,2,1,3,3,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,3,1,3,3,3,1,3,3,3,1,1,1,3,1,2,2,3,2,1,1,1,2,7,4,2,2,1,2,2,0,2,6417.6693,05/06/2020
6070,6,9,9,9,9,4,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,3,4,4,4,4,3,3,3,3,1,1,3,3,2,3,3,5,1,1,0,1,1,3,9,4,0,0,2,3,0,2,2398.8943,05/06/2020
6071,6,2,2,2,1,4,4,2,2,1,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,2,2,2,3,4,3,4,4,3,3,3,1,1,3,3,3,1,1,2,6,1,1,0,1,1,6,9,4,5,2,2,1,0,2,2333.2695,05/06/2020
6072,4,2,2,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,4,4,4,4,3,3,3,3,2,1,1,3,3,1,1,2,3,2,1,0,1,1,6,4,2,7,2,2,2,0,2,13585.4923,05/06/2020
6073,6,2,2,2,1,4,4,3,3,3,3,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,2,2,3,1,4,4,4,1,3,3,1,1,1,1,3,1,1,5,1,1,2,0,1,1,2,9,4,13,3,1,1,0,2,78674.796,05/06/2020
6074,6,2,2,2,1,4,4,3,4,4,2,3,4,3,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,3,3,2,3,3,3,1,2,1,3,1,2,2,3,1,1,2,1,4,1,1,9,4,16,4,1,1,0,2,20150.6017,05/06/2020
6075,6,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,4,2,3,4,2,3,3,3,1,1,1,1,1,1,1,6,1,1,0,3,2,4,9,4,0,0,2,4,0,2,3909.6351,05/06/2020
6076,6,2,2,2,1,3,4,2,2,2,4,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,2,2,3,4,2,4,4,3,3,3,3,1,3,3,3,4,9,2,7,1,2,0,1,1,5,9,4,8,2,2,1,9,2,9720.1502,05/06/2020
6077,4,2,2,2,1,1,3,2,1,2,4,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,4,4,3,2,3,3,3,3,3,1,3,3,2,3,3,1,1,2,0,4,1,2,3,1,8,2,2,2,2,2,8036.1709,05/06/2020
6078,6,2,2,2,1,2,3,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,3,4,3,2,4,2,3,3,3,3,3,3,3,3,2,2,6,1,2,0,1,1,6,9,4,5,2,2,2,0,2,790.7095,05/06/2020
6079,6,2,2,2,1,4,3,1,2,2,2,1,3,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,3,4,3,3,4,3,3,3,1,1,3,3,3,1,1,2,3,1,1,1,1,1,3,9,4,5,2,2,2,0,2,4605.1445,05/06/2020
6080,4,2,2,2,1,4,3,2,2,2,2,1,3,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,4,3,3,4,3,3,3,3,3,3,3,1,2,4,2,3,1,1,1,1,1,6,1,1,6,2,2,2,0,2,11655.1694,05/06/2020
6081,2,2,2,2,1,1,3,2,2,2,1,2,1,4,2,2,1,2,1,1,1,1,1,1,1,2,2,2,3,3,4,3,4,2,3,3,2,1,1,3,1,4,4,1,3,1,1,0,4,4,2,3,1,7,2,2,2,2,1,2567.0947,05/06/2020
6082,3,2,2,2,1,3,3,2,2,2,1,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,2,2,1,4,4,4,4,3,3,3,3,3,3,3,3,1,2,2,4,2,2,1,1,3,4,2,1,5,2,2,2,0,2,18866.4044,05/06/2020
6083,6,2,2,2,1,4,4,3,3,4,4,3,3,3,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,4,1,4,4,3,3,3,3,1,1,3,3,1,1,1,2,2,2,1,1,4,6,9,4,16,4,1,1,0,2,5107.296,05/06/2020
6084,5,2,2,2,1,2,3,2,1,1,2,1,3,1,1,2,2,2,1,1,1,2,1,1,1,1,2,2,1,4,4,4,2,3,3,3,1,3,1,1,3,3,4,2,2,1,2,0,2,1,6,3,1,4,1,2,2,1,2,2916.1881,05/06/2020
6085,6,2,2,2,1,4,4,3,3,2,2,1,1,3,2,2,2,1,1,1,1,1,2,1,1,2,2,2,1,4,2,4,4,3,3,3,1,1,1,1,1,1,1,2,5,1,2,0,1,1,2,9,4,8,2,2,1,0,2,1482.708,05/06/2020
6086,5,2,2,2,1,3,3,2,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,3,4,2,4,3,3,3,3,1,1,3,3,3,4,5,2,3,1,1,1,1,1,3,3,1,5,2,2,2,2,2,5187.8305,05/06/2020
6087,6,2,2,2,1,4,3,2,1,2,2,2,3,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,3,4,3,2,2,1,3,1,1,1,1,1,2,4,5,2,6,1,2,0,1,4,2,9,4,6,2,2,2,0,2,9908.3644,05/06/2020
6088,3,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,3,4,3,4,4,3,3,3,2,2,2,2,2,4,5,2,3,1,1,1,2,1,2,3,1,0,0,2,3,0,2,4766.7035,05/06/2020
6089,4,2,2,2,1,5,5,4,4,3,4,2,3,3,1,1,2,1,2,1,1,1,1,1,2,2,2,2,1,4,3,2,4,3,3,3,1,1,1,3,3,3,3,1,3,1,2,0,4,1,6,4,2,16,4,1,0,0,1,2858.9117,05/06/2020
6090,6,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1,2,1,2,2,2,3,4,3,3,4,3,3,3,3,3,3,3,3,1,2,2,5,1,1,0,1,1,6,9,4,0,0,2,4,0,1,2343.0011,05/06/2020
6091,5,2,2,2,1,4,5,4,4,4,4,2,3,2,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,4,3,4,4,3,3,1,3,3,3,3,3,1,3,2,3,1,1,1,1,1,2,2,1,16,4,1,0,0,1,5246.47,05/06/2020
6092,4,2,2,2,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,1,1,2,7,1,2,0,3,4,1,9,9,0,0,2,4,0,1,11085.0117,05/06/2020
6093,4,2,2,2,1,4,3,2,1,1,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,4,3,3,3,1,3,1,1,1,1,1,1,1,2,2,2,1,2,0,2,4,7,1,1,3,1,2,2,0,2,847.0315,05/06/2020
6094,5,1,2,2,2,4,2,1,1,1,1,9,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2,1,4,3,4,2,3,3,3,1,1,1,3,3,2,4,2,2,1,2,1,1,1,3,4,2,99,9,9,3,0,2,4176.8984,05/06/2020
6095,3,2,2,2,1,3,4,4,4,4,4,2,4,4,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,4,3,4,3,3,3,3,1,1,3,3,1,1,2,2,1,2,1,2,2,6,4,3,19,4,1,1,0,2,11760.1207,05/06/2020
6096,4,2,2,2,1,5,9,2,9,9,2,9,9,9,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,9,3,3,9,3,3,9,9,1,9,9,9,1,2,1,5,1,2,0,4,1,4,9,1,99,9,9,9,0,2,3264.9626,05/06/2020
6097,6,2,2,2,1,4,4,2,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,3,4,3,4,4,3,3,3,1,1,1,3,3,1,1,4,5,1,2,0,1,1,2,9,4,6,2,2,1,0,2,46717.5043,05/06/2020
6098,5,2,2,2,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,2,2,3,4,3,3,4,3,3,3,3,3,3,3,3,3,5,4,4,1,1,1,1,1,6,1,1,0,0,2,4,0,2,11607.9489,05/06/2020
6099,4,2,2,2,1,5,4,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,3,3,3,3,2,3,3,3,1,1,3,1,3,4,2,4,1,2,0,1,1,6,1,1,6,2,2,1,0,1,1209.0855,05/06/2020
6100,6,9,9,9,9,4,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,4,3,3,4,2,3,3,3,3,1,3,3,1,1,2,6,1,1,0,1,1,2,9,4,0,0,2,3,0,2,4653.9852,05/06/2020
6101,3,2,2,2,1,2,5,4,4,4,3,3,3,3,1,2,2,2,2,1,2,1,1,2,2,1,2,2,4,4,4,4,4,1,1,3,1,1,1,3,3,3,4,1,1,1,2,0,4,1,5,3,1,17,4,1,0,2,2,533.6589,05/06/2020
6102,6,1,2,2,2,1,4,2,3,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,3,4,3,4,3,1,3,3,1,1,3,3,1,1,1,3,1,2,0,4,2,3,9,4,8,2,2,1,0,2,5808.3498,05/06/2020
6103,5,2,2,2,1,4,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,3,4,3,4,4,1,1,3,1,1,3,3,3,4,5,2,3,1,1,1,3,1,6,3,1,7,2,2,3,0,2,2252.0456,05/06/2020
6104,6,2,2,2,1,4,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,1,4,4,4,4,3,3,3,3,3,1,3,3,1,1,2,6,2,2,0,1,1,4,9,4,1,1,2,3,0,2,2161.0894,05/06/2020
6105,2,2,2,2,1,1,5,4,4,4,3,3,4,4,1,1,1,2,2,1,1,1,1,1,2,1,2,2,1,4,4,3,4,3,3,3,1,3,1,3,3,2,9,2,4,1,2,0,4,1,2,4,3,19,4,1,0,3,1,1926.4724,05/06/2020
6106,4,2,2,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,4,4,3,3,4,3,3,3,2,1,3,3,3,2,2,2,6,1,2,0,1,1,6,4,3,1,1,2,4,0,2,2315.297,05/06/2020
6107,3,2,2,2,1,5,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,3,4,3,4,4,3,3,3,1,1,1,3,3,1,3,2,4,1,2,0,4,1,2,1,1,5,2,2,3,0,2,38537.0149,05/06/2020
6108,4,2,2,2,1,4,4,3,2,2,1,1,3,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,3,3,3,3,3,3,1,1,1,3,1,2,3,1,3,1,2,1,3,2,6,1,1,6,2,2,1,0,2,6369.3249,05/06/2020
6109,1,2,2,2,1,4,3,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,4,4,4,1,3,3,3,3,1,1,1,3,4,4,1,5,2,2,0,3,2,2,4,2,0,0,2,2,0,2,8354.7043,05/06/2020
6110,4,2,2,2,1,4,2,2,1,2,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,4,3,3,2,3,3,3,1,1,1,3,1,2,5,2,3,1,2,1,1,1,4,3,1,5,2,2,3,0,1,2396.0029,05/06/2020
6111,6,2,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,1,1,1,5,1,1,0,4,3,4,9,4,2,1,2,3,0,2,4512.6588,05/06/2020
6112,4,2,2,2,1,3,3,2,1,2,2,1,3,3,1,2,2,2,1,1,1,1,1,1,1,1,2,2,3,4,4,4,3,3,3,3,2,1,1,1,3,2,2,1,3,1,2,0,4,2,4,2,1,7,2,2,2,0,2,5663.5763,05/06/2020
6113,5,2,2,2,1,3,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,3,9,9,3,3,3,3,3,3,3,3,3,1,1,5,2,4,1,1,0,1,4,2,3,1,2,1,2,3,0,2,4297.2276,05/06/2020
6114,5,2,2,1,2,5,3,4,4,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,1,2,2,2,1,1,3,4,4,3,1,3,3,1,1,3,3,1,1,1,6,1,2,0,3,2,3,4,3,10,3,1,2,2,2,2805.7837,05/06/2020
6115,3,2,2,2,1,5,5,4,4,4,4,4,4,4,1,2,2,2,2,1,1,1,1,1,1,2,2,2,4,3,3,3,3,9,9,9,1,1,1,9,9,1,1,1,5,1,1,0,4,3,2,3,1,21,4,1,0,0,2,6078.8912,05/06/2020
6116,5,2,2,2,1,4,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,2,2,4,4,4,4,4,3,3,3,1,3,1,3,1,1,2,3,5,1,1,0,1,1,3,3,1,0,0,2,4,0,2,6392.2954,05/06/2020
6117,6,2,2,2,1,3,4,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,4,4,4,4,3,3,3,3,3,3,3,3,1,2,2,4,1,1,1,4,1,4,9,4,5,2,2,1,0,2,7436.0766,05/06/2020
6118,3,2,2,2,1,4,5,3,2,2,3,2,4,2,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,4,3,4,4,1,3,3,1,1,1,1,3,1,2,1,5,1,2,0,4,4,7,1,1,11,3,1,0,0,2,1597.1878,05/06/2020
6119,3,2,2,2,1,5,3,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,4,4,4,2,4,3,3,3,3,1,1,3,3,1,1,1,6,1,1,0,3,3,2,4,3,0,0,2,2,0,2,2112.2288,05/06/2020
6120,6,2,2,2,1,4,3,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,2,2,4,1,4,2,4,3,3,3,1,3,1,3,3,1,2,2,2,1,1,0,4,1,6,9,4,4,1,2,2,0,2,11066.4462,05/06/2020
6121,5,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,3,4,3,4,4,3,3,3,1,1,1,3,1,1,1,2,3,2,2,1,1,3,7,3,1,1,1,2,4,0,2,1560.0981,05/06/2020
6122,6,2,2,2,1,3,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,4,3,4,4,3,3,3,3,3,3,3,3,1,2,2,5,1,2,0,1,1,4,9,4,5,2,2,3,0,1,5778.2623,05/06/2020
6123,3,2,2,1,2,1,5,4,4,4,4,3,3,4,2,1,2,1,2,2,2,1,1,1,2,2,1,2,3,1,4,4,4,3,3,3,3,2,2,2,3,1,1,2,5,1,1,0,1,1,3,4,3,19,4,1,0,2,2,3535.2939,05/06/2020
6124,4,1,2,2,2,3,3,2,2,2,2,1,3,3,2,2,2,2,2,1,1,1,1,2,1,2,2,2,1,4,4,4,4,3,3,3,1,1,1,3,1,1,1,2,3,2,2,1,1,1,6,2,1,8,2,2,2,0,2,5614.0058,05/06/2020
6125,6,2,2,2,1,4,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,9,9,9,9,3,1,9,9,1,1,1,7,1,2,0,3,2,6,9,4,0,0,2,4,0,2,2065.085,05/06/2020
6126,6,2,2,2,1,4,2,2,1,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,3,4,3,4,2,3,3,3,3,3,1,3,3,3,3,1,7,1,2,0,3,1,6,9,4,5,2,2,3,0,1,851.0324,05/06/2020
6127,3,2,2,2,1,4,3,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,4,2,2,4,3,3,3,3,3,3,1,3,2,5,1,2,1,1,0,4,1,3,3,1,2,1,2,2,0,2,31791.1317,05/06/2020
6128,6,2,2,2,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,3,1,1,1,1,4,1,2,9,4,0,0,2,4,2,2,31865.7554,05/06/2020
6129,6,2,2,2,1,5,2,2,2,3,3,4,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,4,3,4,3,3,3,3,2,1,1,1,3,1,2,2,5,1,1,0,1,1,5,9,4,10,3,1,3,0,1,4341.9733,05/06/2020
6130,6,2,2,2,1,4,2,2,9,9,9,9,3,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,3,9,2,3,9,9,9,3,1,1,9,9,2,2,1,7,1,2,0,1,3,2,9,4,99,9,9,3,0,2,2733.8689,05/06/2020
6131,6,2,2,1,2,1,3,2,1,1,2,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,4,4,4,4,3,2,3,3,3,3,3,3,1,1,2,6,1,2,0,1,4,1,9,4,3,1,2,2,0,2,35682.5478,05/06/2020
6132,6,2,2,2,1,4,4,2,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,3,3,3,1,3,3,2,2,2,2,3,1,2,2,2,1,2,1,1,1,7,9,4,5,2,2,1,0,2,4117.1785,05/06/2020
