PUMFID,LM_30,LM_35A,LM35BCDE,LM_35F,LM_35G,LM_40,MH_05,MH_15A,MH_15B,MH_15C,MH_15D,MH_15E,MH_15F,MH_15G,BH_20A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,BH_20N,BH_35A,BH_35B,BH_35C,BH_35D,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,BH_110,BH_115,HHLDSIZC,AGEGRP,IMMIGRNC,SEX,PCHILD,MARSTATC,DWELCODC,PEDUC_LC,PTELEWSC,PEMPSTC,ANXDVGAD,ANXDVSEV,ANXDVGAC,MHDVMHI,PFSCDV,RURURB,PERS_WGT,VERDATE
9387,4,2,2,2,1,4,3,1,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,3,4,4,4,4,3,3,3,1,1,1,3,1,3,4,5,1,2,2,1,4,1,1,3,1,3,1,2,2,0,2,5679.7954,05/06/2020
9388,3,2,2,2,1,4,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,4,3,4,4,3,3,3,3,2,3,3,3,2,2,2,2,1,2,0,4,1,6,2,1,0,0,2,3,0,1,2788.8753,05/06/2020
9389,6,2,2,2,1,1,5,4,4,4,4,4,4,4,1,1,2,2,1,1,1,1,1,1,2,2,2,2,4,4,4,4,3,3,3,3,3,1,1,3,3,1,1,1,1,1,2,0,3,3,3,9,4,21,4,1,0,9,2,834.2785,05/06/2020
9390,6,2,2,2,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,2,9,9,3,9,9,3,3,1,3,1,1,1,3,2,3,2,5,2,1,0,3,3,7,9,4,0,0,2,4,0,2,1467.0726,05/06/2020
9391,1,2,2,2,1,3,4,3,4,4,3,2,2,3,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,4,3,3,3,9,9,2,1,1,9,3,2,3,2,2,1,2,0,1,2,4,1,1,14,3,1,1,0,2,14464.1497,05/06/2020
9392,3,2,2,2,1,4,1,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,4,4,4,4,3,3,3,3,1,1,3,1,3,3,2,4,1,1,0,3,1,3,3,1,5,2,2,4,0,2,4165.6733,05/06/2020
9393,2,2,2,2,1,2,3,2,1,1,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,3,4,3,4,4,2,3,3,1,1,1,1,3,4,4,2,2,2,2,0,4,2,7,3,1,5,2,2,2,0,2,3007.6928,05/06/2020
9394,6,2,2,2,1,4,4,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,4,3,4,3,3,3,3,1,1,1,1,3,1,1,1,6,1,2,0,3,1,6,9,4,4,1,2,1,0,2,2834.46,05/06/2020
9395,6,2,2,2,1,5,3,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,4,2,4,4,3,3,3,2,3,1,3,3,1,2,2,1,1,1,1,4,1,1,9,4,3,1,2,2,0,1,26658.0841,05/06/2020
9396,6,2,2,2,1,4,3,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,3,4,4,3,3,3,3,3,3,1,1,9,1,1,1,2,6,1,2,0,1,1,4,9,4,7,2,2,2,0,2,2909.059,05/06/2020
